,Year,CO2(ppm),Temp
0,1750,277.03,8.719363636363637
1,1751,277.02,7.9761428571428565
2,1752,277.0,5.7798333333333325
3,1753,276.99,8.388083333333332
4,1754,276.99,8.469333333333335
5,1755,276.99,8.355583333333334
6,1756,277.0,8.849583333333333
7,1757,277.02,9.022
8,1758,277.04,6.7435833333333335
9,1759,277.07,7.985083333333333
10,1760,277.1,7.185166666666667
11,1761,277.14,8.772499999999999
12,1762,277.19,8.606500000000002
13,1763,277.24,7.496749999999999
14,1764,277.3,8.400333333333332
15,1765,277.37,8.251916666666666
16,1766,277.44,8.405666666666667
17,1767,277.52,8.221499999999999
18,1768,277.61,6.781333333333333
19,1769,277.7,7.694583333333334
20,1770,277.79,7.691916666666667
21,1771,277.89,7.8531666666666675
22,1772,277.99,8.1935
23,1773,278.1,8.2215
24,1774,278.2,8.772166666666665
25,1775,278.32,9.183083333333334
26,1776,278.43,8.304
27,1777,278.54,8.256250000000001
28,1778,278.66,8.54225
29,1779,278.78,8.98325
30,1780,278.9,9.432916666666667
31,1781,279.01,8.102583333333332
32,1782,279.13,7.901249999999998
33,1783,279.25,7.680833333333333
34,1784,279.36,7.862000000000001
35,1785,279.48,7.3629999999999995
36,1786,279.59,8.258166666666666
37,1787,279.7,8.031833333333333
38,1788,279.81,8.447166666666668
39,1789,279.92,8.334166666666667
40,1790,280.02,7.982333333333333
41,1791,280.13,8.23425
42,1792,280.23,8.089
43,1793,280.33,8.229166666666666
44,1794,280.43,8.526000000000002
45,1795,280.53,8.350333333333333
46,1796,280.62,8.270999999999999
47,1797,280.71,8.510583333333335
48,1798,280.81,8.670250000000001
49,1799,280.9,8.505749999999999
50,1800,280.98,8.484250000000001
51,1801,281.07,8.589666666666668
52,1802,281.15,8.578166666666666
53,1803,281.23,8.503
54,1804,281.31,8.844833333333334
55,1805,281.39,8.56275
56,1806,281.47,8.434083333333332
57,1807,281.54,8.281416666666665
58,1808,281.62,7.626833333333333
59,1809,281.69,7.076416666666667
60,1810,281.77,6.922666666666665
61,1811,281.85,6.859500000000001
62,1812,281.92,7.046250000000001
63,1813,282.0,7.7399166666666686
64,1814,282.07,7.59175
65,1815,282.15,7.239333333333334
66,1816,282.23,6.9375
67,1817,282.3,6.975666666666668
68,1818,282.38,7.828916666666667
69,1819,282.46,7.3691666666666675
70,1820,282.54,7.616249999999998
71,1821,282.62,8.090083333333332
72,1822,282.7,8.188333333333334
73,1823,282.78,7.718666666666665
74,1824,282.87,8.547166666666667
75,1825,282.96,8.389333333333333
76,1826,283.05,8.356583333333335
77,1827,283.15,8.808749999999998
78,1828,283.24,8.165333333333335
79,1829,283.34,7.941833333333332
80,1830,283.44,8.51675
81,1831,283.55,7.639166666666667
82,1832,283.65,7.450166666666667
83,1833,283.76,8.013
84,1834,283.87,8.14675
85,1835,283.98,7.392499999999999
86,1836,284.1,7.695833333333334
87,1837,284.22,7.3756666666666675
88,1838,284.34,7.514916666666665
89,1839,284.46,7.632249999999999
90,1840,284.58,7.796250000000001
91,1841,284.71,7.688166666666667
92,1842,284.84,8.02275
93,1843,284.96,8.173666666666668
94,1844,285.09,7.646333333333334
95,1845,285.21,7.851166666666668
96,1846,285.33,8.55275
97,1847,285.44,8.086
98,1848,285.56,7.979500000000001
99,1849,285.66,7.984416666666667
100,1850,285.77,7.900666666666666
101,1851,285.86,8.178583333333332
102,1852,285.96,8.100166666666665
103,1853,286.05,8.041833333333333
104,1854,286.14,8.2105
105,1855,286.23,8.110749999999998
106,1856,286.31,7.995916666666666
107,1857,286.4,7.758166666666668
108,1858,286.49,8.10025
109,1859,286.57,8.252
110,1860,286.67,7.960833333333333
111,1861,286.76,7.846500000000002
112,1862,286.86,7.558583333333335
113,1863,286.97,8.111833333333333
114,1864,287.08,7.983583333333335
115,1865,287.2,8.177833333333334
116,1866,287.32,8.292166666666665
117,1867,287.45,8.436333333333334
118,1868,287.59,8.247916666666667
119,1869,287.73,8.432083333333333
120,1870,287.88,8.201333333333332
121,1871,288.04,8.115083333333333
122,1872,288.2,8.193833333333332
123,1873,288.37,8.351083333333333
124,1874,288.55,8.4335
125,1875,288.73,7.859583333333334
126,1876,288.93,8.080083333333333
127,1877,289.13,8.539583333333333
128,1878,289.33,8.829749999999999
129,1879,289.55,8.165833333333333
130,1880,289.78,8.118749999999999
131,1881,290.01,8.270916666666666
132,1882,290.26,8.128916666666667
133,1883,290.51,7.976916666666667
134,1884,290.77,7.773666666666667
135,1885,291.05,7.919666666666668
136,1886,291.33,7.954499999999999
137,1887,291.62,7.914916666666667
138,1888,291.92,8.0905
139,1889,292.23,8.318999999999999
140,1890,292.55,7.971666666666667
141,1891,292.87,8.019333333333334
142,1892,293.2,8.065833333333332
143,1893,293.53,8.05675
144,1894,293.87,8.161
145,1895,294.2,8.147
146,1896,294.54,8.214916666666666
147,1897,294.88,8.293333333333335
148,1898,295.22,8.177999999999999
149,1899,295.56,8.396333333333333
150,1900,295.9,8.501583333333333
151,1901,296.24,8.541916666666665
152,1902,296.59,8.304416666666667
153,1903,296.93,8.220166666666668
154,1904,297.28,8.090916666666667
155,1905,297.63,8.225166666666665
156,1906,297.98,8.379083333333332
157,1907,298.34,7.947166666666667
158,1908,298.7,8.186083333333334
159,1909,299.06,8.17825
160,1910,299.42,8.223
161,1911,299.78,8.177000000000001
162,1912,300.15,8.165416666666667
163,1913,300.52,8.297749999999999
164,1914,300.89,8.5905
165,1915,301.27,8.593166666666665
166,1916,301.64,8.22525
167,1917,302.02,8.023333333333332
168,1918,302.4,8.130833333333332
169,1919,302.77,8.38225
170,1920,303.15,8.35875
171,1921,303.53,8.571
172,1922,303.9,8.408
173,1923,304.27,8.422166666666666
174,1924,304.64,8.506833333333335
175,1925,305.01,8.534416666666667
176,1926,305.38,8.728833333333332
177,1927,305.74,8.522083333333333
178,1928,306.1,8.632166666666668
179,1929,306.46,8.242416666666665
180,1930,306.81,8.633583333333332
181,1931,307.15,8.71925
182,1932,307.49,8.705250000000001
183,1933,307.82,8.33825
184,1934,308.14,8.628333333333336
185,1935,308.45,8.51575
186,1936,308.75,8.554
187,1937,309.04,8.698333333333332
188,1938,309.31,8.863666666666667
189,1939,309.57,8.760333333333334
190,1940,309.82,8.764666666666667
191,1941,310.05,8.768666666666668
192,1942,310.26,8.728416666666666
193,1943,310.46,8.755083333333333
194,1944,310.65,8.845
195,1945,310.84,8.584833333333332
196,1946,311.02,8.676916666666669
197,1947,311.22,8.797083333333333
198,1948,311.42,8.74675
199,1949,311.65,8.586749999999999
200,1950,311.89,8.365250000000001
201,1951,312.16,8.625666666666666
202,1952,312.46,8.638250000000001
203,1953,312.79,8.873750000000001
204,1954,313.15,8.560666666666666
205,1955,313.55,8.62625
206,1956,313.99,8.279583333333333
207,1957,314.45,8.7325
208,1958,314.96,8.77375
209,1959,315.74,8.732666666666665
210,1960,316.495,8.58375
211,1961,317.16999999999996,8.797666666666666
212,1962,317.905,8.745916666666666
213,1963,318.525,8.856
214,1964,319.21000000000004,8.409666666666666
215,1965,319.81,8.527416666666667
216,1966,320.885,8.599333333333332
217,1967,321.72,8.700083333333334
218,1968,322.605,8.516333333333334
219,1969,323.865,8.595083333333333
220,1970,324.885,8.700916666666666
221,1971,325.71500000000003,8.59925
222,1972,326.815,8.499583333333334
223,1973,328.47,8.948249999999998
224,1974,329.28999999999996,8.4675
225,1975,330.34000000000003,8.744833333333334
226,1976,331.395,8.347249999999999
227,1977,332.91499999999996,8.850249999999999
228,1978,334.33500000000004,8.692749999999998
229,1979,335.695,8.733416666666665
230,1980,337.32,8.980333333333332
231,1981,338.675,9.165833333333333
232,1982,340.045,8.639166666666666
233,1983,341.585,9.028166666666666
234,1984,343.15,8.691833333333335
235,1985,344.625,8.658
236,1986,345.99,8.833583333333332
237,1987,347.58500000000004,8.994416666666668
238,1988,349.53,9.201583333333334
239,1989,351.04499999999996,8.922000000000002
240,1990,352.44,9.234166666666667
241,1991,353.84000000000003,9.179416666666667
242,1992,355.04,8.836583333333332
243,1993,356.16499999999996,8.866583333333333
244,1994,357.835,9.038749999999999
245,1995,359.635,9.347083333333332
246,1996,361.32500000000005,9.038916666666667
247,1997,362.7,9.202583333333333
248,1998,364.99,9.522666666666666
249,1999,366.655,9.285083333333333
250,2000,368.05499999999995,9.201166666666667
251,2001,369.67499999999995,9.414583333333335
252,2002,371.555,9.570416666666667
253,2003,373.64,9.525583333333334
254,2004,375.315,9.324583333333333
255,2005,379.98,9.700916666666666
256,2006,382.09,9.532499999999999
257,2007,384.02,9.732166666666666
258,2008,385.83,9.431750000000001
259,2009,387.64,9.505250000000002
260,2010,390.1,9.703083333333332
261,2011,391.85,9.516
262,2012,394.06,9.507333333333333
263,2013,396.74,9.606499999999999
264,2014,398.87,9.570666666666666
265,2015,401.01,9.830999999999998
